gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0,0.02816901408450704,1,1,0.020000000000000018,0.0049619201477036695,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,0.5352112676056339,1,1,0.6300000000000001,0.3564504961920148,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,1,0,0.7042253521126761,1,1,0.6000000000000001,0.4537272097853681,1,0,0,0,1,0,1,1,1,1,0,1,0,0
1,0,1,1,0.5211267605633804,1,1,0.020000000000000018,0.0840064620355412,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0.2112676056338028,0,1,0.2,0.07454419570736211,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,0,0,0.056338028169014086,1,1,0.6599999999999999,0.04581121624740365,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,0,1,1,0.36619718309859156,0,1,0.27,0.14170320793907223,0,0,0,0,1,1,0,0,1,1,0,1,0,0
0,1,1,0,0.323943661971831,0,0,0.16000000000000003,0.09346872836372029,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,0,0,0,0.16901408450704225,1,0,0.49000000000000005,0.09508423724901917,0,0,0,1,1,0,1,0,1,0,0,0,0,0
1,0,0,0,0.0,0,0,0.17000000000000004,0.0019616893607200554,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0.8873239436619719,1,1,0.8700000000000001,0.7944841910916224,1,1,0,0,1,0,1,1,1,1,0,1,0,0
0,1,1,0,0.0,0,0,0.22000000000000003,0.0025386568197553663,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,1,1,1,0.5633802816901409,1,1,0.9300000000000002,0.5211170090006924,1,1,0,0,1,1,1,1,1,1,0,0,1,0
0,0,1,1,0.8309859154929577,1,1,0.020000000000000018,0.14447265174244173,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,1,0,0.8169014084507042,1,1,0.75,0.6411262404800369,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0.5070422535211268,1,0,0.020000000000000018,0.08504500346180477,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0.5633802816901409,1,1,0.7,0.4185321947842142,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,1,1,0.9014084507042254,1,1,0.8500000000000001,0.778790676205862,1,1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,1,1,0.7746478873239437,1,1,0.06,0.16305100392337873,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,0.18309859154929578,1,0,0.51,0.1068543734133395,1,0,0,1,1,0,0,0,1,0,0,0,0,1
0,0,1,1,0.7183098591549296,1,0,0.06,0.15151165474267253,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,1,0,0.5774647887323944,1,1,0.6699999999999999,0.4282252480960074,1,1,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,1,0.7042253521126761,1,1,0.05000000000000002,0.1382414031848604,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0.23943661971830985,1,1,0.77,0.19928456035079622,0,1,0,0,0,1,0,1,1,0,0,1,0,0
1,1,0,1,0.0,1,1,0.53,0.00611585506577429,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.0,1,1,0.71,0.008192937918301408,0,1,0,0,0,0,0,1,1,0,0,0,1,0
1,0,0,0,0.0,1,1,0.27,0.0031156242787906763,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.0,1,0,0.020000000000000018,0.00023078698361412436,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0.0,1,1,0.56,0.006462035541195477,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0.47887323943661975,1,1,0.8200000000000001,0.3945303484883453,1,1,0,0,0,1,0,1,1,0,0,0,1,0
1,0,1,1,0.943661971830986,0,0,0.42,0.472074774982691,0,0,0,0,1,1,1,1,1,0,1,1,0,0
1,0,1,0,0.7605633802816901,1,0,0.010000000000000009,0.12947149780752368,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0.971830985915493,0,1,0.39999999999999997,0.4841910916224325,0,0,0,1,0,1,1,1,1,0,1,0,0,0
1,0,0,0,0.04225352112676056,1,1,0.5800000000000001,0.036348949919224556,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0.35211267605633806,0,0,0.29000000000000004,0.13524117239787678,0,0,0,1,1,1,0,1,0,1,0,0,0,0
0,0,0,0,0.295774647887324,1,0,0.41,0.14262635587352873,1,0,0,1,1,0,0,0,0,0,0,0,1,0
0,0,1,1,0.323943661971831,1,0,0.6300000000000001,0.2198246018924533,1,0,0,1,0,0,1,1,1,0,0,0,0,0
0,0,1,1,0.943661971830986,1,1,0.7,0.7055158089083775,1,0,0,1,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0.9859154929577465,1,1,0.6799999999999999,0.7101315485806601,1,1,0,0,0,1,1,0,0,0,1,1,0,0
0,0,0,0,1.0,1,1,0.5700000000000001,0.6136625894299561,0,0,0,1,1,1,1,1,0,0,1,0,0,0
1,0,1,1,0.9577464788732395,1,0,0.41,0.47495961227786754,0,0,0,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,1.0,1,0,0.6799999999999999,0.7306715901223171,1,0,0,0,1,1,1,1,1,0,1,0,0,0
1,1,0,0,0.6338028169014085,1,1,0.9200000000000002,0.5603507962150934,1,1,0,1,1,1,0,1,1,1,0,0,1,0
0,0,0,0,0.04225352112676056,1,0,0.6000000000000001,0.036002769443803366,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1,1,0,0,0.056338028169014086,1,1,0.6599999999999999,0.04315716593584122,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0.19718309859154928,1,1,0.37000000000000005,0.10166166628202171,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0.5492957746478874,1,0,0.010000000000000009,0.09116085852757905,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0.971830985915493,1,1,0.8600000000000001,0.8345257327486729,1,1,0,1,0,0,1,1,1,0,1,1,0,0
1,0,0,0,0.4225352112676057,1,0,0.020000000000000018,0.07673667205169629,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0.6338028169014085,1,1,0.9000000000000001,0.5580429263789523,1,1,0,0,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0.6901408450704226,1,0,0.9600000000000002,0.6661666282021694,1,1,0,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0.4084507042253521,1,1,0.76,0.3070620816985922,1,1,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0.04225352112676056,0,1,0.06,0.007846757442880221,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.9577464788732395,1,0,0.72,0.7274405723517193,1,0,0,1,1,1,1,1,1,0,1,0,0,1
0,0,1,0,0.8450704225352113,0,1,0.44,0.43387952919455347,0,0,0,1,0,1,1,1,1,0,1,0,0,1
1,0,1,1,0.07042253521126761,1,0,0.37000000000000005,0.040041541657050546,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,0,0.33802816901408456,1,1,0.77,0.26771290099238404,0,1,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,0.9859154929577465,1,0,0.07,0.21693976459727674,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0.16901408450704225,1,0,0.020000000000000018,0.023078698361412416,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,0.09859154929577466,1,1,0.5800000000000001,0.07235171936302794,1,0,0,1,1,0,1,0,1,0,1,1,0,0
0,0,1,0,0.5492957746478874,0,1,0.24,0.19593814908839144,0,0,0,1,1,1,0,0,0,1,0,0,1,0
1,0,1,0,0.5492957746478874,1,0,0.010000000000000009,0.08792984075698132,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0.8873239436619719,1,1,0.81,0.710016155088853,0,1,0,0,1,0,1,1,1,0,0,1,0,0
1,0,1,1,0.7042253521126761,1,0,0.6699999999999999,0.5080775444264943,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,0,0,0,1.0,1,0,0.010000000000000009,0.1633971843987999,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,1,0,0.3943661971830986,1,1,0.76,0.3040618509116086,1,1,0,0,0,0,0,1,1,0,0,0,1,0
1,1,0,0,0.7746478873239437,1,0,0.8600000000000001,0.6719363027925225,1,1,0,0,1,1,0,1,1,0,0,0,1,0
1,0,1,0,0.09859154929577466,1,1,0.6699999999999999,0.07027463651050081,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0.9859154929577465,1,0,0.79,0.769559196861297,1,1,0,1,0,0,1,0,1,1,0,1,0,0
1,1,1,1,0.295774647887324,1,0,0.6699999999999999,0.22420955458112163,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0.7464788732394366,0,0,0.27,0.28179090699284565,0,0,0,1,0,0,1,1,0,0,1,1,0,0
0,0,0,0,0.0,1,1,0.010000000000000009,0.00011539349180706218,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0.2112676056338028,1,0,0.5,0.12647126702054004,0,0,0,1,1,0,1,0,1,0,1,0,0,0
0,0,1,0,0.9014084507042254,1,1,0.72,0.6823217170551581,1,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,1.0,1,1,0.79,0.8046388183706439,1,1,0,1,1,0,1,0,1,0,1,1,0,0
1,0,0,1,0.14084507042253522,0,1,0.18,0.04431110085391184,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0.9154929577464789,0,1,0.29000000000000004,0.36452804061850913,0,0,0,1,1,1,1,0,0,0,1,0,0,1
1,0,0,0,0.35211267605633806,1,1,0.8200000000000001,0.29783060235402725,1,1,0,0,0,1,0,1,1,0,0,0,0,0
0,0,1,1,0.23943661971830985,1,0,0.010000000000000009,0.03738749134548811,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.0,1,1,0.8200000000000001,0.009462266328179092,1,1,0,0,1,0,0,1,1,0,0,1,0,0
1,0,0,0,0.3802816901408451,1,1,0.36000000000000004,0.17159012231710133,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0.04225352112676056,1,1,0.31,0.01915531963997231,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0.1267605633802817,1,1,0.52,0.0739672282483268,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0.9154929577464789,1,1,0.5700000000000001,0.5763904915762751,0,0,0,1,1,1,1,1,0,1,0,0,1,0
0,0,1,1,0.33802816901408456,1,1,0.72,0.2492499423032541,0,1,0,0,0,0,0,1,1,1,0,0,1,0
0,0,0,1,0.18309859154929578,1,0,0.5800000000000001,0.11954765751211632,0,0,0,1,1,1,1,0,1,0,1,0,0,0
1,0,1,1,0.04225352112676056,1,0,0.020000000000000018,0.005077313639510732,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0.0,1,1,0.53,0.00611585506577429,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0.7183098591549296,1,1,0.8600000000000001,0.6404338795291945,1,1,0,1,0,1,0,1,1,0,0,0,1,0
0,0,0,0,0.6901408450704226,0,1,0.17000000000000004,0.20355411954765754,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0.0,1,1,0.7,0.008077544426494346,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,1,1,0.647887323943662,1,0,0.06,0.1317793676436649,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0.323943661971831,1,1,0.7,0.23701823217170553,1,1,0,0,0,1,0,1,0,0,0,1,0,0
1,1,1,1,0.943661971830986,0,1,0.35000000000000003,0.41980152319409186,0,0,0,0,1,1,0,1,1,0,1,0,1,0
0,1,1,0,0.49295774647887325,1,0,0.36000000000000004,0.22778675282714056,0,0,0,0,0,1,1,0,0,1,0,1,0,0
0,0,1,0,0.9014084507042254,1,1,0.020000000000000018,0.16108931456265868,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,0.7746478873239437,1,0,0.9200000000000002,0.706323563351027,1,1,0,1,1,1,0,1,1,1,0,0,1,0
1,0,1,1,0.18309859154929578,1,1,0.69,0.143087929840757,1,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,0.19718309859154928,1,1,0.8300000000000001,0.17147472882529427,1,1,0,0,0,1,0,1,1,0,0,0,1,0
1,1,1,0,0.04225352112676056,1,1,0.81,0.03796445880452343,1,1,0,1,0,0,0,1,1,0,0,0,1,0
1,1,1,0,0.9295774647887325,1,1,0.8900000000000001,0.8220632356335102,1,1,0,1,0,1,0,1,1,1,0,1,0,0
0,1,1,0,0.7746478873239437,1,1,0.6699999999999999,0.5545811216247404,0,0,0,1,1,1,1,1,1,0,1,0,0,0
1,0,1,1,0.295774647887324,1,1,0.51,0.1707823678744519,0,0,0,0,1,0,0,1,1,1,0,0,0,0
1,1,1,0,1.0,1,1,0.07,0.22144011077775216,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0,1,1,0.014084507042253521,1,0,0.47000000000000003,0.013385645049619203,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,1,0.19718309859154928,1,1,0.51,0.12150934687283638,0,0,0,0,1,1,1,0,1,0,0,0,0,1
1,1,0,0,0.014084507042253521,1,1,0.38000000000000006,0.01153934918070621,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0.7605633802816901,1,1,0.6300000000000001,0.5182321717055158,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1,0,1,0,0.15492957746478872,1,0,0.27,0.05619663051003924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0.3802816901408451,1,1,0.6300000000000001,0.25490422340180013,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,0.22535211267605634,1,1,0.6699999999999999,0.16674359566120472,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,0,1,1,0.9859154929577465,1,1,0.77,0.7791368566812832,1,1,0,1,1,1,1,0,0,1,0,1,0,0
1,0,1,0,1.0,1,0,0.6200000000000001,0.659935379644588,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0.0,1,1,0.010000000000000009,0.00011539349180706218,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0.8028169014084507,1,1,0.8500000000000001,0.6922455573505654,1,1,0,0,1,1,0,1,1,1,0,0,0,0
0,0,1,0,0.4084507042253521,1,0,0.31,0.16420493884144935,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,0.8169014084507042,1,1,0.6200000000000001,0.5394645741980152,1,0,0,0,1,0,1,1,1,1,0,0,1,0
0,0,1,1,0.0,1,0,0.26,0.003000230786983614,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0.4366197183098592,1,0,0.72,0.33221786291253175,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,0,0,0.15492957746478872,1,1,0.31,0.0663512577890607,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,1,0.9577464788732395,1,1,0.07,0.19097622894068775,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0.5774647887323944,1,0,0.07,0.1257789060696977,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,1,1,0.35211267605633806,1,0,0.6300000000000001,0.23678744518809142,0,1,0,1,1,0,0,0,0,0,0,0,1,0
0,0,1,1,0.8591549295774649,1,0,0.53,0.5156935148857604,0,0,0,1,0,1,1,0,1,1,0,1,0,0
0,0,0,0,0.09859154929577466,1,1,0.6799999999999999,0.07281329333025618,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0.09859154929577466,1,0,0.6599999999999999,0.07500576967459036,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,0,1,1,0.33802816901408456,1,1,0.71,0.2711747057465959,1,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,0.9014084507042254,1,1,0.73,0.6833602584814217,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0.33802816901408456,1,1,0.020000000000000018,0.05977382875605816,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0.647887323943662,1,0,0.69,0.4614585737364413,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,1,1,0.15492957746478872,0,0,0.12,0.04038772213247173,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,1,1,0,0.16901408450704225,1,1,0.8,0.14066466651280868,0,1,0,0,1,1,0,1,1,0,0,0,1,0
0,0,1,1,0.7183098591549296,1,1,0.020000000000000018,0.12150934687283638,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0.0,1,1,0.010000000000000009,0.00011539349180706218,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0.16901408450704225,1,1,0.6599999999999999,0.12000923147934457,1,1,0,0,1,1,0,0,0,0,0,0,1,0
1,0,1,0,0.7042253521126761,1,1,0.42,0.36083544888068314,0,0,0,1,1,0,1,0,0,1,0,0,0,0
1,1,1,1,0.04225352112676056,1,0,0.28,0.01880913916455112,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.11267605633802817,1,1,0.0,0.019270713131779367,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0.36619718309859156,1,0,0.53,0.2237479806138934,1,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,1,1,0.295774647887324,1,1,0.7,0.21543964920378492,1,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0.6338028169014085,1,1,0.75,0.4772674821140088,1,1,0,1,1,0,0,0,1,0,0,0,1,0
1,1,1,0,0.8873239436619719,1,0,0.79,0.739903069466882,0,1,0,1,1,1,0,0,1,1,0,0,0,0
0,0,1,0,0.8309859154929577,0,1,0.42,0.4112624048003693,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,1,1,0.9014084507042254,1,1,0.51,0.5124624971151627,1,0,0,1,1,0,0,0,1,0,1,0,0,1
0,0,1,0,0.18309859154929578,1,0,0.6300000000000001,0.13420263097161322,0,0,0,0,1,1,1,1,1,0,1,0,0,1
1,0,1,0,0.19718309859154928,1,1,0.6599999999999999,0.1488576044311101,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,0,1,0,0.35211267605633806,1,0,0.6300000000000001,0.23771059312254791,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1,0,0,0,0.295774647887324,1,1,0.6599999999999999,0.21197784444957307,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,1,0.3943661971830986,1,0,0.8200000000000001,0.3244864989614586,1,1,0,0,1,1,1,0,1,1,0,1,0,0
1,0,1,0,0.8028169014084507,1,1,0.8400000000000001,0.6770136164320332,1,1,0,0,0,1,1,1,1,0,0,1,0,0
0,0,1,1,0.6619718309859155,1,1,0.37000000000000005,0.30383106392799447,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,0,1,0,0.9295774647887325,1,1,0.9300000000000002,0.8646434341103162,1,1,0,1,0,1,1,1,1,1,0,0,1,0
0,0,1,1,0.9859154929577465,1,0,0.9100000000000001,0.89591507039003,0,1,0,1,1,1,1,1,1,0,1,1,0,0
